Number_of_P&Ds;channel;coin;exchange;pair;timestamp;announced_growth
61;Binance Crypto Pumps;DLT;binance;BTC;2021-01-28 19:00;30,40%
62;Binance Crypto Pumps;IDEX;binance;BTC;2021-04-25 17:00;40%
63;Binance Crypto Pumps;STEEM;binance;BTC;2021-01-18 17:00;16%
64;Binance Crypto Pumps;WPR;binance;BTC;2021-05-09 17:00;35%
65;Binance Crypto Pumps;FIO;binance;BTC;2021-06-13 17:01;36,13%
66;Big Pumps Binance;NEBL;binance;BTC;2021-08-24 15:00;93%
67;Big Pumps Binance;ATM;binance;BTC;2021-09-10 16:00;300%
68;Big Pumps Binance;PIVX;binance;BTC;2021-09-18 15:00;100%
69;Big Pumps Binance;WABI;binance;BTC;2021-10-14 15:00;85%
70;Big Pumps Binance;BRD;binance;BTC;2021-10-31 15:00;69%
71;Big Pumps Binance;NAS;binance;BTC;2021-11-14 15:00;75%
72;Big Pumps Binance;MDA;binance;BTC;2021-11-23 15:00;57%
73;Big Pumps Binance;SNM;binance;BTC;2022-01-27 15:02;17%
74;Big Pumps Binance;NAS;binance;BTC;2022-02-01 15:00;30%
75;Binance Crypto Pump Signals🚨🚨🚨;EVX;binance;BTC;2021-10-24 17:00;83,68%
76;[Official]Binance Pump 247 [Annoucement];DREP;binance;USDT;2021-07-25 17:00;52,50%
